city,party,age,election,men_population,women_population,hispanic_population,white_population,black_population,native_population,asian_population,pacific_population,voted_cnt,not_voted_cnt,total_population
BEDFORD,DEM,97,Nov 10 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,12,0,12868
BEDFORD,DEM,96,Nov 10 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,4,0,12868
BEDFORD,DEM,95,Nov 10 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,16,0,12868
BEDFORD,DEM,94,Nov 10 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,4,0,12868
BEDFORD,DEM,93,Nov 10 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,40,0,12868
BEDFORD,DEM,92,Nov 10 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,28,0,12868
BEDFORD,DEM,91,Nov 10 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,36,0,12868
BEDFORD,DEM,90,Nov 10 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,52,4,12868
BEDFORD,DEM,89,Nov 10 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,16,0,12868
BEDFORD,DEM,88,Nov 10 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,44,0,12868
BEDFORD,DEM,87,Nov 10 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,44,4,12868
BEDFORD,DEM,86,Nov 10 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,40,4,12868
BEDFORD,DEM,85,Nov 10 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,44,4,12868
BEDFORD,DEM,84,Nov 10 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,20,8,12868
